"isin_cd","tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm"
US85205L1070,SWTX        ,Springworks Ther                                            ,SpringWorks                                                 
VGG863021256,SWVL        ,Swvl Holdings                                               ,Swvl Holdings                                               
VGG2161P1320,SXTC        ,China Sxt Pharms                                            ,China Sxt Pharms                                            
US83356Q1085,SY          ,So-Young Intl                                               ,So-Young Intl                                               
US8610251048,SYBT        ,스톡 야즈 뱅코프                                                   ,Stock Yards                                                 
US87166L1008,SYBX        ,신로직                                                         ,Synlogic                                                    
US87151X1019,SYM         ,Symbotic                                                    ,Symbotic                                                    
US87157D1090,SYNA        ,시냅틱스                                                        ,Synaptics                                                   
US87166B1026,SYNH        ,사이너스 헬스                                                     ,Syneos Health                                               
US8716551069,SYPR        ,사이프리스 솔루션스                                                  ,Sypris Solution                                             
US87184Q2066,SYRS        ,"Syros Pharmaceuticals, Inc.                                 ",Syros Pharms                                                
CA83013Q6085,SYTA        ,Siyata Mobile                                               ,Siyata Mobile                                               
US87427V1035,TALK        ,Talkspace                                                   ,Talkspace                                                   
US87410C1045,TALS        ,Talaris                                                     ,Talaris                                                     
VGG8675X1490,TANH        ,Tantech Hldg                                                ,Tantech Hldg                                                
VGG8675V1278,TAOP        ,Taoping                                                     ,Taoping                                                     
US74365U1079,TARA        ,Proteon                                                     ,Protara Therapeu                                            
US87650L1035,TARS        ,Tarsus Pharms                                               ,Tarsus Pharms                                               
US87652V1098,TASK        ,Taskus                                                      ,Taskus                                                      
US1920031010,TBIO        ,Telesis Bio                                                 ,Telesis Bio                                                 
IL0011754137,TBLA        ,Taboola                                                     ,Taboola                                                     
US89157G8841,TBLT        ,ToughBuilt Inds                                             ,ToughBuilt Inds                                             
US89856T2033,TC          ,TuanChe                                                     ,TuanChe                                                     
US88224Q1076,TCBI        ,텍사스 캐피털 뱅크셰어스                                               ,Texas Capital B                                             
US88224Q3056,TCBIO       ,Texas Capital B                                             ,Texas Capital B                                             
US8960951064,TCBK        ,트라이코 뱅크셰어스                                                  ,Trico Bancshares                                            
US87807D2027,TCBP        ,TC BioPharm                                                 ,TC BioPharm                                                 
US88422P1093,TCBX        ,Third Coast Banc                                            ,Third Coast Banc                                            
US87357P1003,TCMD        ,택타일 시스템스 테크놀로지                                              ,Tactile Sys Tech                                            
US89677Q1076,TCOM        ,ctrip.com Intl                                              ,Trip.com Group                                              
US89237H2094,TCON        ,TRACON Pharms                                               ,TRACON Pharms                                               
US09259E1082,TCPC        ,블랙록 TCP 캐피털                                                 ,BlackRock TCP                                               
US8986972060,TCX         ,투카우스                                                        ,Tucows                                                      
US88556E1029,TDUP        ,ThredUp                                                     ,ThredUp                                                     
US0494681010,TEAM        ,Atlassian US                                                ,Atlassian US                                                
US09073M1045,TECH        ,바이오-테크네                                                     ,Bio-Techne                                                  
US8723811084,TELA        ,TELA Bio                                                    ,TELA Bio                                                    
US88025T1025,TENB        ,"Tenable Holdings, Inc.                                      ",Tenable Holdings                                            
US88032L5066,TENX        ,Tenax Therapeut                                             ,Tenax Therapeut                                             
US8807701029,TER         ,테라다인                                                        ,Teradyne                                                    
US8808811074,TERN        ,Terns Pharma                                                ,Terns Pharma                                                
US87241J1043,TFFP        ,TFF Pharms                                                  ,TFF Pharms                                                  
US89679E3009,TFIN        ,Triumph Fincl                                               ,Triumph Fincl                                               
US87240R1077,TFSL        ,TFS 파이낸셜                                                    ,TFS Financial                                               
US89386L1008,TGAN        ,Transphorm Tech                                             ,Transphorm Tech                                             
US89458T1060,TGL         ,Treasure Global                                             ,Treasure Global                                             
US88322Q1085,TGTX        ,TG 세러퓨틱스                                                    ,TG Therapeutics                                             
US87615L1070,TH          ,Platinum Eagle                                              ,Target Hospitlty                                            
KYG8656L1068,THCH        ,Th International                                            ,Th International                                            
US3202181000,THFF        ,퍼스트 파이낸셜                                                    ,First Fin                                                   
US88362L2097,THMO        ,Thermogenesis                                               ,Thermogenesis                                               
US88427A1079,THRD        ,Third Harmonic B                                            ,Third Harmonic B                                            
US37253A1034,THRM        ,젠섬                                                          ,Gentherm                                                    
