"isin_cd","tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm"
US00211V1061,AACG        ,ATA                                                         ,ATA CreatGlo                                                
US00032Q1040,AADI        ,Aadi Bioscience                                             ,Aadi Bioscience                                             
US02376R1023,AAL         ,아메리칸 에어라인스 그룹                                               ,American Airline                                            
US03823U1025,AAOI        ,어플라이드 옵토일렉트로닉스                                              ,AOI                                                         
US0003602069,AAON        ,에이에이온                                                       ,AAON                                                        
US0378331005,AAPL        ,애플                                                          ,Apple                                                       
US03076K1088,ABCB        ,아메리스 뱅코프                                                    ,Ameris                                                      
CA00288U1066,ABCL        ,Abcellera                                                   ,Abcellera                                                   
US0003802040,ABCM        ,Abcam                                                       ,Abcam                                                       
US00289Y2063,ABEO        ,아베오나 세러퓨틱스                                                  ,Abeona                                                      
US00211Y5069,ABIO        ,ARCA                                                        ,ARCA                                                        
US0090661010,ABNB        ,Airbnb                                                      ,Airbnb                                                      
US00509G2093,ABOS        ,Acumen                                                      ,Acumen                                                      
US00091E1091,ABSI        ,Absci                                                       ,Absci                                                       
CA03879J1003,ABUS        ,아버터스 바이오파마                                                  ,Arbutus Biopharm                                            
US00091F3047,ABVC        ,ABVC Biopharma                                              ,ABVC Biopharma                                              
US0042251084,ACAD        ,아카디아 파마수티컬스                                                 ,ACADIA Pharm                                                
CA05156X8843,ACB         ,Aurora Cannabis                                             ,Aurora Cannabis                                             
US00437E1029,ACCD        ,Accolade                                                    ,Accolade                                                    
US74319N1000,ACDC        ,Profrac Holding                                             ,Profrac Holding                                             
US00444P1084,ACER        ,에이서 세러퓨틱스                                                   ,Acer Therape                                                
US0070021086,ACET        ,resTORbio                                                   ,Adicet Bio                                                  
BMG0450A1053,ACGL        ,아치 캐피털 그룹                                                   ,Arch Capital Grp                                            
US03939A4040,ACGLN       ,Arch Capital Grp                                            ,Arch Capital Grp                                            
US03939A1079,ACGLO       ,아치 캐피털 그룹(ACGL 5.45 PERP)                                   ,Arch Capital Grp                                            
US00404A1097,ACHC        ,아카디아 헬스케어                                                   ,Acadia Health                                               
US00449L1026,ACHL        ,Achilles                                                    ,Achilles                                                    
US0044685008,ACHV        ,Achieve                                                     ,Achieve                                                     
CH0329023102,ACIU        ,AC Immune SA                                                ,AC Immune                                                   
US0044981019,ACIW        ,ACI 월드와이드                                                   ,ACI World                                                   
US0545402085,ACLS        ,액셀리스 테크놀로지스                                                 ,Axcelis Tech                                                
US03940C1009,ACLX        ,Arcellx                                                     ,Arcellx                                                     
US00108J1097,ACMR        ,"ACM Research, Inc.                                          ",ACM Rsrch                                                   
US0008681092,ACNB        ,ACNB                                                        ,ACNB                                                        
US6551871022,ACON        ,Aclarion                                                    ,Aclarion                                                    
US00484M7002,ACOR        ,Acorda                                                      ,Acorda                                                      
US00461U1051,ACRS        ,애클래리스 세러퓨틱스                                                 ,Aclaris                                                     
US0048901096,ACRV        ,Acrivon Therapeu                                            ,Acrivon Therapeu                                            
US00444T2096,ACRX        ,Acelrx Pharma                                               ,Acelrx Pharma                                               
CA00430K8656,ACST        ,Acasti Pharma                                               ,Acasti Pharma                                               
US29249E1091,ACT         ,Enact Holdings                                              ,Enact Holdings                                              
US0038813079,ACTG        ,아카시아 리서치                                                    ,Acacia Rsrch                                                
US00091G1040,ACVA        ,ACV Auctions                                                ,ACV Auctions                                                
US00510M1045,ACXP        ,Acurx Pharms                                                ,Acurx Pharms                                                
US00653A1079,ADAP        ,어답트이뮨 세러퓨틱스                                                 ,Adaptimmune                                                 
US00724F1012,ADBE        ,어도비                                                         ,Adobe                                                       
KYG2287A2093,ADD         ,Color star                                                  ,Color star                                                  
US00676P1075,ADEA        ,Adeia                                                       ,Adeia                                                       
US00770C1018,ADES        ,어드밴스드 에미션스 솔루션스                                             ,ADA                                                         
US0326541051,ADI         ,애널로그 디바이시스                                                  ,Analog Devices                                              
US00688A2050,ADIL        ,Adial                                                       ,Adial                                                       
US0008991046,ADMA        ,ADMA 바이오로직스                                                 ,ADMA Biologics                                              
US00547W3079,ADMP        ,Adamis Pharma                                               ,Adamis Pharma                                               
US00788A1051,ADN         ,Advent Tech                                                 ,Advent Tech                                                 
US0530151036,ADP         ,오토매틱 데이터 프로세싱                                               ,ADP                                                         
US00650F1093,ADPT        ,Adaptive                                                    ,Adaptive                                                    
IE000DU292E6,ADSE        ,Ads-Tec Energy                                              ,Ads-Tec Energy                                              
US0527691069,ADSK        ,오토데스크                                                       ,Autodesk                                                    
US00739D1090,ADTH        ,AdTheorent Hldg                                             ,AdTheorent Hldg                                             
US00486H1059,ADTN        ,ADTRAN Hldg                                                 ,ADTRAN Hldg                                                 
US0070256047,ADTX        ,Aditxt                                                      ,Aditxt                                                      
US0067391062,ADUS        ,아듀스 홈케어                                                     ,Addus Homecare                                              
US00791N1028,ADV         ,Conyers Park 2                                              ,Advantage                                                   
US00773U1088,ADVM        ,애드베럼 바이오테크놀로지스                                              ,Adverum                                                     
US00654J1079,ADXN        ,Addex Therape                                               ,Addex Therape                                               
VGG041JN1065,AEHL        ,China Ceramics                                              ,Antelope Entp                                               
US00760J1088,AEHR        ,애어 테스트 시스템스                                                 ,Aehr Test Sys                                               
US02115D2080,AEI         ,Alset                                                       ,Alset                                                       
US0079731008,AEIS        ,어드밴스드 에너지 인더스트리스                                            ,Advncd Energy                                               
US00808Y3071,AEMD        ,Aethlon Med                                                 ,Aethlon Med                                                 
US0255371017,AEP         ,AEP Inc                                                     ,AEP Inc                                                     
US0067433062,AEY         ,애드밴티지 테크놀로지스 그룹                                             ,ADDvantage Tech                                             
US0507342014,AEYE        ,AudioEye                                                    ,AudioEye                                                    
CA0079755017,AEZS        ,Aeterna Zentaris                                            ,Aeterna Zentaris                                            
US00109K1051,AFCG        ,AFC Gamma                                                   ,AFC Gamma                                                   
US0051111096,AFIB        ,Acutus Medical                                              ,Acutus Medical                                              
NL0010872420,AFMD        ,아피메드                                                        ,Affimed                                                     
US00827B1061,AFRM        ,Affirm Holdings                                             ,Affirm Holdings                                             
KYG011251066,AFYA        ,Afya                                                        ,Afya                                                        
US0191701095,AGAE        ,Allied Gaming                                               ,Allied Gaming                                               
VGG012121023,AGBA        ,Agba Grp Hldg                                               ,Agba Grp Hldg                                               
US00847G7051,AGEN        ,에이지너스                                                       ,Agenus                                                      
US00853E3053,AGFY        ,Agrify                                                      ,Agrify                                                      
US00857F1003,AGIL        ,AgileThought                                                ,AgileThought                                                
US00847X1046,AGIO        ,애지오스 파마수티컬스                                                 ,Agios                                                       
US00773J1034,AGLE        ,"Aeglea BioTherapeutics, Inc.                                ",Aeglea Bio                                                  
US00123Q1040,AGNC        ,AGNC 인베스트먼트                                                 ,AGNC Investment                                             
US00123Q8565,AGNCL       ,AGNC Investment                                             ,AGNC Investment                                             
US00123Q6098,AGNCM       ,AGNC Investment                                             ,AGNC Investment                                             
US00123Q5009,AGNCN       ,AGNC 인베스트먼트(AGNC 7 PERP)                                    ,AGNC Investment                                             
US00123Q8078,AGNCO       ,AGNC Investment                                             ,AGNC Investment                                             
US00123Q8722,AGNCP       ,AGNC Investment                                             ,AGNC Investment                                             
CAC009481069,AGRI        ,Agriforce Growin                                            ,Agriforce Growin                                            
US00847L3087,AGRX        ,Agile                                                       ,Agile                                                       
US00847J1051,AGYS        ,어질리시스                                                       ,Agilysys                                                    
US00653Q1022,AHCO        ,DFB Healthcare                                              ,AdaptHlth                                                   
US98422P1084,AHG         ,Akso Health                                                 ,Akso Health                                                 
US8172252046,AIHS        ,Senmiao Tech                                                ,Senmiao Tech                                                
US00902F2048,AIMD        ,Ainos                                                       ,Ainos                                                       
US04302A1043,AIP         ,Arteris                                                     ,Arteris                                                     
US00938A1043,AIRG        ,에어개인                                                        ,Airgain                                                     
US0094961002,AIRS        ,Airsculpt Tech                                              ,Airsculpt Tech                                              
US00971T1016,AKAM        ,아카마이 테크놀로지스                                                 ,Akamai Tech                                                 
CA00971M2058,AKAN        ,Akanda                                                      ,Akanda                                                      
US00972D1054,AKBA        ,아케비아 세러퓨틱스                                                  ,Akebia                                                      
US00974B1070,AKLI        ,Akili Inc                                                   ,Akili Inc                                                   
US00973Y1082,AKRO        ,Akero                                                       ,Akero                                                       
US00973N1028,AKTS        ,"Akoustis Technologies, Inc.                                 ",Akoustis                                                    
US00972G2075,AKTX        ,Akari                                                       ,Akari                                                       
US01021X1000,AKU         ,Akumin                                                      ,Akumin                                                      
US00974H1041,AKYA        ,Akoya Bioscience                                            ,Akoya Bioscience                                            
US78643B5003,ALAR        ,Alarum Technolog                                            ,Alarum Technolog                                            
US05344R2031,ALBT        ,Avalon Globocare                                            ,Avalon Globocare                                            
US0162301040,ALCO        ,알리코                                                         ,Alico                                                       
US01438T1060,ALDX        ,알데이라 세러퓨틱스                                                  ,Aldeyra                                                     
US0144421072,ALEC        ,Alector                                                     ,Alector                                                     
US01749D1054,ALGM        ,Allegro Micro                                               ,Allegro Microsys                                            
US0162551016,ALGN        ,얼라인 테크놀로지                                                   ,Align Technology                                            
US01626L1052,ALGS        ,Aligos                                                      ,Aligos Therapeut                                            
US01748X1028,ALGT        ,얼리전트 트래블                                                    ,Allegiant Tr                                                
US01625V1044,ALHC        ,Alignment                                                   ,Alignment                                                   
US0162592028,ALIM        ,Alimera Sciences                                            ,Alimera Sciences                                            
IE00B56GVS15,ALKS        ,앨커미스                                                        ,Alkermes                                                    
US01644J1088,ALKT        ,Alkami Tech                                                 ,Alkami Tech                                                 
US01671P1003,ALLK        ,Allakos Inc.                                                ,Allakos                                                     
US0197701065,ALLO        ,"Allogene Therapeutics, Inc.                                 ",Allogene                                                    
US0167443029,ALLR        ,Allarity                                                    ,Allarity                                                    
IL0010996549,ALLT        ,앨롯                                                          ,Allot                                                       
US02043Q1076,ALNY        ,앨나일램 파마수티컬스                                                 ,Alnylam Pharms                                              
US02083G1004,ALPN        ,알파인 이뮨 사이언시스                                                ,Alpine Immune                                               
US02083E2046,ALPP        ,Alpine 4 Hldg                                               ,Alpine 4 Hldg                                               
US0116421050,ALRM        ,알람닷컴 홀딩스                                                    ,Alarm.com Hldg                                              
US00887A2042,ALRN        ,Aileron                                                     ,Aileron                                                     
US01446U1034,ALRS        ,Alerus Financial                                            ,Alerus Financial                                            
US02155H2004,ALT         ,알티뮨                                                         ,Altimmune                                                   
US02157E1064,ALTI        ,AlTi Global                                                 ,AlTi Global                                                 
US0215131063,ALTO        ,Alto Ingredients                                            ,Alto Ingredients                                            
US0213691035,ALTR        ,Altair Engineering Inc.                                     ,Altair Eng                                                  
LU2458332611,ALVO        ,Alvotech                                                    ,Alvotech                                                    
US0198181036,ALVR        ,Allovir                                                     ,Allovir                                                     
US00166B1052,ALXO        ,ALX Oncology Hol                                            ,ALX Oncology Hol                                            
CA01643B1067,ALYA        ,Alithya Group Inc.                                          ,Alithya Group                                               
US02262M3088,ALZN        ,Alzamend Neuro                                              ,Alzamend Neuro                                              
US0226711010,AMAL        ,Amalgamated Bank                                            ,Amalgamated Bank                                            
US02290A1025,AMAM        ,Ambrx Biopharma                                             ,Ambrx Biopharma                                             
US0382221051,AMAT        ,어플라이드 머티어리얼즈                                                ,Applied                                                     
KYG037AX1015,AMBA        ,암바렐라                                                        ,Ambarella                                                   
US00164V1035,AMCX        ,AMC 네트웍스                                                    ,AMC Networks                                                
US0079031078,AMD         ,AMD                                                         ,AMD                                                         
US0234361089,AMED        ,아메디시스                                                       ,Amedisys                                                    
US03763A2078,AMEH        ,아폴로 메디컬 홀딩스                                                 ,ApolloMed                                                   
US0311621009,AMGN        ,암젠                                                          ,Amgen                                                       
US0316521006,AMKR        ,앰코 테크롤로지                                                    ,Amkor Technology                                            
CA0272592092,AMLI        ,ALC                                                         ,ALC                                                         
US03237H1014,AMLX        ,Amylyx Pharma                                               ,Amylyx Pharma                                               
US0277451086,AMNB        ,아메리칸 내셔널 뱅크셰어스                                              ,Amer Natl Bkshr                                             
US03211Q2003,AMPG        ,Amplitech Group                                             ,Amplitech Group                                             
US03209R1032,AMPH        ,앰퍼스타 파마수티컬스                                                 ,Amphastar Pharms                                            
US03213A1043,AMPL        ,Amplitude                                                   ,Amplitude                                                   
US00181T1079,AMRK        ,A-마크 프레셔스 메탈스                                               ,A-Mark Precious                                             
US0231112063,AMRN        ,아마린                                                         ,Amarin                                                      
US0301112076,AMSC        ,아메리칸 슈퍼컨덕터                                                  ,Amer Superconduc                                            
US03071H1005,AMSF        ,아메리세이프                                                      ,Amerisafe                                                   
US0310942042,AMST        ,Amesite                                                     ,Amesite                                                     
US0296831094,AMSWA       ,아메리칸 소프트웨어                                                  ,Amer Software                                               
US03824M1099,AMTI        ,Applied                                                     ,Applied                                                     
US00770K2024,AMTX        ,에이메티스                                                       ,Aemetis                                                     
US0305061097,AMWD        ,아메리칸 우드마크                                                   ,Amer Woodmark                                               
US0231351067,AMZN        ,아마존 닷컴                                                      ,Amazon.com                                                  
US0327241065,ANAB        ,어냅티스바이오                                                     ,AnaptysBio                                                  
US0341641035,ANDE        ,앤더슨스                                                        ,Andersons                                                   
KYG0369L1014,ANGH        ,Anghami                                                     ,Anghami                                                     
US00183L1026,ANGI        ,Angi                                                        ,Angi                                                        
US03475V1017,ANGO        ,앤지오다이내믹스                                                    ,AngioDynamics                                               
US0352551081,ANIK        ,아니카 세러퓨틱스                                                   ,Anika Thptc                                                 
US00182C1036,ANIP        ,ANI 파마수티컬스                                                  ,ANI Pharma                                                  
US03528H1095,ANIX        ,아닉사 바이오사이언시스                                                ,Anixa Bioscience                                            
US03589W1027,ANNX        ,Annexon                                                     ,Annexon                                                     
US03662Q1058,ANSS        ,앤시스                                                         ,ANSYS                                                       
US0373261058,ANTX        ,AN2 Therapeutics                                            ,AN2 Therapeutics                                            
CA84841L4073,ANY         ,Sphre 3D                                                    ,Sphre 3D                                                    
BMG6331P1041,AOSL        ,알파 & 오메가 세미콘덕터                                              ,Alpha and Omega                                             
US02875D1090,AOUT        ,American Outdoor                                            ,American Outdoor                                            
US03743Q1085,APA         ,APA US                                                      ,APA US                                                      
US03834B3096,APCX        ,AppTech Payments                                            ,AppTech Payments                                            
US03815U3005,APDN        ,Applied DNA                                                 ,Applied DNA                                                 
US02913V1035,APEI        ,아메리칸 퍼블릭 에듀케이션                                              ,APEI                                                        
US00851L1035,API         ,Agora                                                       ,Agora                                                       
US0381692070,APLD        ,Applied Digital                                             ,Applied Digital                                             
US03753U1060,APLS        ,"Apellis Pharmaceuticals, Inc.                               ",Apellis                                                     
US03828A1016,APLT        ,Applied                                                     ,Applied                                                     
KYG6096M1226,APM         ,Aptorum Group                                               ,Aptorum Group                                               
US0375981091,APOG        ,아포지 엔터프라이시스                                                 ,Apogee                                                      
US03831W1080,APP         ,Applovin                                                    ,Applovin                                                    
US03783C1009,APPF        ,앱폴리오                                                        ,Appfolio                                                    
US03782L1017,APPN        ,애피안                                                         ,Appian                                                      
US25400W1027,APPS        ,디지털 터빈                                                      ,Digital Turbine                                             
CA03835T3091,APTO        ,Aptose Bio                                                  ,Aptose Bio                                                  
US03835L2079,APVO        ,Aptevo                                                      ,Aptevo                                                      
US03837C1062,APYX        ,에이픽스 메디컬                                                    ,Apyx Medical                                                
US03842K2006,AQB         ,아쿠아바운티 테크놀로지스                                               ,AquaBounty Tech                                             
US03837J1016,AQMS        ,아쿠아 메탈스                                                     ,Aqua Metals                                                 
US03843E1047,AQST        ,"Aquestive Therapeutics, Inc.                                ",Aquestive Therap                                            
US03890D1081,ARAV        ,아라바이브                                                       ,Aravive                                                     
US0043971052,ARAY        ,애큐레이                                                        ,Accuray                                                     
IL0011796625,ARBE        ,Arbe Robotics                                               ,Arbe Robotics                                               
US0401261047,ARBK        ,Argo Blockchain                                             ,Argo Blockchain                                             
US03937C1053,ARCB        ,아크베스트                                                       ,ArcBest                                                     
US04010L1035,ARCC        ,아레스 캐피털                                                     ,Ares Capital                                                
KYG045531061,ARCE        ,Arco Platform Limited                                       ,Arco Platform                                               
US03969T1097,ARCT        ,Arcturus                                                    ,Arcturus                                                    
US0396971071,ARDX        ,아델릭스                                                        ,Ardelyx                                                     
US02919L3078,AREB        ,American Rebel                                              ,American Rebel                                              
US02927U2087,AREC        ,American Rsrcs                                              ,American Rsrcs                                              
US04016X1019,ARGX        ,아르헨익스                                                       ,Argenx                                                      
US04035M1027,ARHS        ,Arhaus                                                      ,Arhaus                                                      
US0412421085,ARKO        ,Arko                                                        ,Arko                                                        
US01877R1086,ARLP        ,얼라이언스 리소스 파트너스                                              ,Alliance Rsrcs                                              
US0427441029,AROW        ,애로우 파이낸셜                                                    ,Arrow Financial                                             
KYG0567U1013,ARQQ        ,Arqit Quantum                                               ,Arqit Quantum                                               
US03969K1088,ARQT        ,Arcutis                                                     ,Arcutis                                                     
US04271T1007,ARRY        ,Array Tech                                                  ,Array Tech                                                  
US04301G5080,ARTL        ,Artelo                                                      ,Artelo                                                      
US0431132085,ARTNA       ,아티전 리소시스                                                    ,Artesian Rsc                                                
LU2607735342,ARVL        ,Arrival                                                     ,Arrival                                                     
US04335A1051,ARVN        ,"Arvinas, Inc.                                               ",Arvinas                                                     
US04280A1007,ARWR        ,애로우헤드 파마수티컬스                                                ,Arrowhead Pharms                                            
US00810F1066,ASLE        ,AerSale                                                     ,AerSale                                                     
US04522R2004,ASLN        ,Aslan Pharms                                                ,Aslan Pharms                                                
US0453961080,ASMB        ,어셈블리 바이오사이언시스                                               ,Assembly                                                    
USN070592100,ASML        ,ASML 홀딩                                                     ,ASML Holding                                                
US04351P1012,ASND        ,어센디스 파마                                                     ,Ascendis Pharma                                             
US00402L1070,ASO         ,Academy Sports                                              ,Academy Sports                                              
US00218A1051,ASPI        ,ASP Isotopes                                                ,ASP Isotopes                                                
US04546C2052,ASRT        ,Assertio Hldg                                               ,Assertio Hldg                                               
US0462241011,ASTE        ,아스텍 인더스트리스                                                  ,Astec Industries                                            
US0436356069,ASTI        ,Ascent Solar                                                ,Ascent Solar                                                
CA0156581070,ASTL        ,Algoma Steel Grp                                            ,Algoma Steel Grp                                            
US04634X1037,ASTR        ,Astra Space                                                 ,Astra Space                                                 
US00217D1000,ASTS        ,Ast Spacemobile                                             ,Ast Spacemobile                                             
US04649U1025,ASUR        ,어슈어 소프트웨어                                                   ,Asure Softwr                                                
NL0015000DX5,ATAI        ,ATAI Life Scienc                                            ,ATAI Life Scienc                                            
US04965M1062,ATAT        ,Atour Lifestyle                                             ,Atour Lifestyle                                             
US02081G2012,ATEC        ,알파텍 홀딩스                                                     ,Alphatec Hldg                                               
US02156U1016,ATER        ,Aterian                                                     ,Aterian                                                     
US03676C1009,ATEX        ,pdvWireless                                                 ,Anterix                                                     
US04746L1044,ATHA        ,Athira Pharma                                               ,Athira Pharma                                               
US04744L2051,ATHX        ,애서시스                                                        ,Athersys                                                    
US04914Y1029,ATLC        ,애틀랜티커스 홀딩스                                                  ,Atlanticus Hldg                                             
US04914Y2019,ATLCP       ,ATLANTICUS 7 625 SRS B CUM PREP PRF                         ,ATLANTICUS 7 625 SRS B CUM PREP PRF                         
US0310011004,ATLO        ,에임스 내셔널                                                     ,Ames National                                               
US1058613068,ATLX        ,Atlas Lithium                                               ,Atlas Lithium                                               
US68236V2034,ATNF        ,"180 Life                                                    ","180 Life                                                    "
US00215F1075,ATNI        ,ATN 인터내셔널                                                   ,ATN Intl                                                    
US04965B1008,ATOM        ,Atomera Incorporated                                        ,Atomera                                                     
US04962H5063,ATOS        ,아토사 제네틱스                                                    ,Atossa Genetics                                             
US0465131078,ATRA        ,아타라 바이오세러퓨틱스                                                ,Atara                                                       
US04963C2098,ATRC        ,아트리큐어                                                       ,AtriCure                                                    
US0499041053,ATRI        ,에이트리언                                                       ,Atrion                                                      
US0464331083,ATRO        ,아스토닉스                                                       ,Astronics                                                   
US00922R1059,ATSG        ,에어 트랜스포트 서비시스 그룹                                            ,Air Transport Sr                                            
US00507V1098,ATVI        ,액티비전 블리자드                                                   ,Activision                                                  
US00653L3015,ATXG        ,Addentax Group                                              ,Addentax Group                                              
US05360L3042,ATXI        ,Avenue                                                      ,Avenue                                                      
US04635X1028,ATXS        ,Astria                                                      ,Astria                                                      
US46264C3051,AUID        ,authID                                                      ,authID                                                      
CA05156V1022,AUPH        ,오리니아 파마수티컬스                                                 ,Aurinia                                                     
US0517741072,AUR         ,Aurora Innovatio                                            ,Aurora Innovatio                                            
US05153U1079,AURA        ,Aura Biosciences                                            ,Aura Biosciences                                            
US05280R1005,AUTL        ,Autolus Therapeutics plc                                    ,Autolus                                                     
US05072K1079,AUUD        ,Auddia                                                      ,Auddia                                                      
US03828V4023,AUVI        ,Applied UV                                                  ,Applied UV                                                  
US05356F1057,AVAH        ,Aveanna Hlthcr                                              ,Aveanna Hlthcr                                              
US0080731088,AVAV        ,에어로바이런먼트                                                    ,AeroVironment                                               
US05337M1045,AVDL        ,아바델 파마수티컬스                                                  ,Avadel                                                      
US05368X1028,AVDX        ,Avidxchange Hldg                                            ,Avidxchange Hldg                                            
US11135F1012,AVGO        ,Broadcom Inc.                                               ,Broadcom                                                    
US0537348858,AVGR        ,Avinger                                                     ,Avinger                                                     
US05367P1003,AVID        ,애비드 테크놀로지                                                   ,Avid Technology                                             
US04683R1068,AVIR        ,Atea Pharm                                                  ,Atea Pharms                                                 
US05366Y2019,AVNW        ,아비아트 네트웍스                                                   ,Aviat Networks                                              
US60510V1089,AVO         ,Mission Prdc                                                ,Mission Prdc                                                
US0536041041,AVPT        ,AvePoint                                                    ,AvePoint                                                    
US05455M1009,AVRO        ,"Avrobio, Inc.                                               ",AVROBIO                                                     
US0538071038,AVT         ,에브넷                                                         ,Avnet                                                       
US0952291005,AVTA        ,Avantax                                                     ,Avantax                                                     
US0080641071,AVTE        ,Aerovate                                                    ,Aerovate                                                    
US05338F2074,AVTX        ,Avalo                                                       ,Avalo                                                       
US0327973006,AVXL        ,애나벡스 라이프 사이언시스                                              ,Anavex Life                                                 
US04537Y2081,AWH         ,Aspira Women's                                              ,Aspira Women's                                              
US00430H2013,AXDX        ,Accelerate                                                  ,Accelerate                                                  
US05463X1063,AXGN        ,옥소젠                                                         ,AXGN                                                        
US05454B1052,AXLA        ,Axcella Health                                              ,Axcella Health                                              
